16876,16878,12590,13427,14411,12591
22942,22944,6719,10354,6427,11531
23229,23231,10485,11462,10488,11289
28507,28509,14078,13363,709,2169
30644,30646,14646,8636,8634,8633
41664,41666,13116,9755,14779,14751
44313,44315,12388,10639,12387,9950
44823,44825,5975,5637,14076,15146
46365,46367,14553,13170,14878,13090
54420,54422,2719,15128,1235,13889
55091,55093,14776,13912,5513,2350
61539,61541,9388,9120,7782,7805
