12589,12590,-0.239590541,1.72287083,0.168859735
6718,6719,-1.51699674,-0.78969568,0.80591923
10484,10485,1.47011304,-0.708576918,-0.299963683
14077,14078,-0.570815504,0.227068305,-1.73463154
14645,14646,-0.12866585,-1.1097188,-0.986108959
13115,13116,1.14663041,-0.796619177,0.565922439
12387,12388,-8.33801842,8.05089188,-8.34145164
5974,5975,-0.626499176,-1.77141857,-0.208093956
14552,14553,-1.60155725,-0.0497655869,-0.651789963
2718,2719,0.937500119,1.4320035,0.803077519
14775,14776,4.00260544,-3.85475659,4.04506445
9387,9388,0.115662418,-0.750258267,1.65012991
13426,13427,-0.332269222,1.77730572,0.208181545
10353,10354,-1.50786543,-0.688096225,0.770325243
11461,11462,1.56902623,-0.689220726,-0.181113511
13362,13363,-0.599066257,0.262981176,-1.73126054
8635,8636,-0.345727682,-1.07539976,-1.14443791
9754,9755,0.952192664,-0.746999621,0.569530606
10638,10639,-8.21784973,8.3412323,-8.42904186
5636,5637,-0.658966184,-1.7489084,-0.28435272
13169,13170,-1.65358365,0.0785592049,-0.744690716
15127,15128,1.0108335,1.25161183,0.666002333
13911,13912,3.59240699,-3.6990633,3.49947238
9119,9120,0.177956983,-0.668773055,1.68316233
12590,12591,-0.348216444,1.7538501,0.136673227
11530,11531,-1.49247456,-0.70553267,0.796139657
11288,11289,1.42141366,-0.74134928,-0.138928115
2168,2169,-0.645636141,0.230093628,-1.76180351
8632,8633,-0.190711379,-1.37595439,-0.978720367
14750,14751,0.999343693,-0.937315047,0.714335263
9949,9950,-8.06637859,8.06003571,-8.19425297
15145,15146,-0.571068764,-1.71048868,-0.195971683
13089,13090,-1.55785644,0.0748260841,-0.632340968
13888,13889,1.07337284,1.22564209,0.884218216
2349,2350,4.13262033,-3.43197322,3.68086815
7804,7805,0.147824883,-0.759321809,1.72490382
